game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating
1,0,13,Out of Time,1,15+2,bourgris,1500,a-00,1191
2,1,16,Resign,0,5+10,a-00,1322,skinnerua,1261
3,1,61,Mate,1,5+10,ischia,1496,a-00,1500
4,1,61,Mate,1,20+0,daniamurashov,1439,adivanov2009,1454
5,1,95,Mate,1,30+3,nik221107,1523,adivanov2009,1469
6,0,5,Draw,0.5,10+0,trelynn17,1250,franklin14532,1002
7,1,33,Resign,1,10+0,capa_jr,1520,daniel_likes_chess,1423
8,0,9,Resign,0,15+30,daniel_likes_chess,1413,soultego,2108
9,1,66,Resign,0,15+0,ehabfanri,1439,daniel_likes_chess,1392
10,1,119,Mate,1,10+0,daniel_likes_chess,1381,mirco25,1209
11,0,39,Mate,1,20+60,daniel_likes_chess,1381,anaissac,1272
12,0,38,Resign,0,20+60,daniel_likes_chess,1381,subham777,1867
13,0,60,Resign,0,5+40,daniel_likes_chess,1381,roman12342005,1936
14,0,31,Resign,0,8+0,daniel_likes_chess,1381,alkhan,1607
15,0,31,Mate,1,15+15,shivangithegenius,1094,sureka_akshat,1141
16,0,43,Resign,0,15+15,sureka_akshat,1141,shivangithegenius,1094
17,0,52,Resign,0,15+15,shivangithegenius,1094,sureka_akshat,1141
18,0,66,Mate,0,15+16,sureka_akshat,1141,shivangithegenius,1094
19,0,101,Resign,0,15+15,shivangithegenius,1094,slam_ment,1300
20,0,25,Resign,1,11+0,g-ios,1500,shivangithegenius,1094
21,0,14,Resign,0,15+15,shivangithegenius,1094,lex_v1,1676
22,0,3,Resign,1,30+60,shivangithegenius,1094,themannichreaction,1068
23,0,17,Resign,1,15+5,storm28rus,1500,shivangithegenius,1094
24,1,36,Resign,1,10+0,robotsmoke,1307,shivangithegenius,1106
25,1,13,Resign,0,10+0,shivangithegenius,1113,ivangonzalez123,1423
26,1,69,Mate,1,10+10,shivangithegenius,1078,sureka_akshat,1219
27,1,43,Resign,1,10+10,gmcarlsen403,1825,shivangithegenius,1079
28,1,54,Mate,0,10+10,mannat1,1328,shivangithegenius,1038
29,1,53,Resign,0,10+10,shivangithegenius,1056,biyanivedant01,1156
30,1,66,Mate,0,10+10,shivangithegenius,1077,chinmaysharma,1148
31,1,64,Resign,0,10+10,biyanivedant01,1358,shivangithegenius,1036
32,1,64,Mate,0,10+10,rv0209,1200,shivangithegenius,1002
33,1,54,Resign,1,10+10,vihaandumir,1203,shivangithegenius,1019
34,0,21,Resign,0,15+3,shivangithegenius,1019,shamlanaseer,1500
35,0,11,Resign,1,18+0,medovich,1422,shivangithegenius,975
36,1,19,Resign,0,10+0,shivangithegenius,976,sorethea,1832
37,1,28,Resign,1,10+0,rico21,1569,shivangithegenius,978
38,0,22,Resign,0,15+0,shivangithegenius,978,jojo58,1500
39,0,37,Resign,1,15+0,jojo58,1500,shivangithegenius,978
40,0,34,Resign,1,30+30,rajuppi,2449,shivangithegenius,978
41,0,32,Draw,0.5,20+25,white_queen_1990,1207,shivangithegenius,978
42,0,71,Resign,0,5+5,milestretch,1241,shivangithegenius,978
43,0,30,Resign,1,30+0,stephen789,1500,shivangithegenius,978
44,0,66,Resign,1,40+40,rajuppi,2443,shivangithegenius,978
45,0,41,Resign,1,20+0,hmbrgr,1500,shivangithegenius,978
46,0,49,Resign,1,15+0,jjwrchess,1500,shivangithegenius,978
47,0,3,Resign,0,15+0,shivangithegenius,978,jjwrchess,1500
48,0,7,Resign,1,10+0,adnanraj,1343,shivangithegenius,978
49,0,35,Mate,1,40+40,rajuppi,2436,shivangithegenius,978
50,0,41,Mate,1,40+40,rajuppi,2436,shivangithegenius,978
51,0,5,Resign,0,10+0,shivangithegenius,978,balkarec,1500
52,0,7,Resign,1,10+0,lucasimeon,1500,shivangithegenius,978
53,0,53,Mate,1,10+0,shivangithegenius,978,lucasimeon,1500
54,0,36,Resign,0,10+0,lucasimeon,1500,shivangithegenius,978
55,1,8,Resign,1,16+0,wing175,1521,gerfsh,1162
56,1,3,Resign,1,6+10,caramiecho72,1407,gerfsh,1500
57,1,28,Resign,1,10+0,mazyaraghgmail,1492,wpc96,1458
58,1,30,Resign,0,10+0,anrk,1414,wpc96,1442
59,1,44,Resign,0,10+0,wpc96,1457,tbaruel,1294
60,1,29,Resign,1,10+0,acahn,1525,wpc96,1466
61,1,37,Resign,0,8+10,iskendermyucel,1207,oldpaths,1579
62,1,49,Resign,1,8+12,oldpaths,1567,david1488,1573
63,1,32,Resign,0,8+12,oldpaths,1578,lc777,1605
64,1,25,Resign,1,8+12,jordanfury,1939,oldpaths,1581
65,1,40,Mate,0,5+10,porquepepe,1618,oldpaths,1568
66,1,39,Resign,1,7+12,gio1212,1755,oldpaths,1574
67,1,57,Resign,1,15+10,oldpaths,1561,rubberchicken04,1596
68,1,78,Resign,0,5+40,berejokserg,1500,oldpaths,1554
69,1,61,Resign,1,15+5,oldpaths,1544,trump216bc,1461
70,1,44,Resign,0,20+5,oldpaths,1563,efer003,1335
71,1,62,Mate,0,20+5,oldpaths,1579,fcolpo,1470
72,1,87,Mate,1,20+5,chesschumpchamp,1617,oldpaths,1590
73,1,54,Mate,0,20+5,aminox,1207,oldpaths,1588
74,1,54,Resign,0,15+5,oldpaths,1595,sale0706,1547
75,1,37,Resign,1,15+5,redar1,1855,oldpaths,1599
76,1,50,Resign,1,15+5,oldpaths,1589,insequitur,1547
77,1,131,Resign,1,30+0,oldpaths,1571,tb-123,1728
78,1,48,Resign,1,30+0,tb-123,1720,oldpaths,1579
79,1,47,Resign,0,15+5,oldpaths,1579,iris_foxspring,2105
80,1,64,Mate,0,15+5,zoro55,1768,oldpaths,1560
81,1,61,Resign,1,15+5,oldpaths,1552,geburah,1436
82,1,57,Mate,1,15+5,oldpaths,1536,urmil007,1667
83,1,51,Resign,1,15+5,serai,1521,oldpaths,1549
84,1,58,Mate,0,15+5,allahdeweswin,1251,oldpaths,1545
85,1,71,Resign,1,15+5,oldpaths,1537,antoniogallero,1408
86,1,114,Resign,1,15+5,oldpaths,1522,matheuswillx,1512
87,1,39,Resign,1,15+5,euler_jr,1602,oldpaths,1532
88,1,20,Resign,0,15+5,oldpaths,1543,euler_jr,1593
89,1,48,Resign,0,30+0,oldpaths,1556,krillnor,1539
90,1,34,Mate,0,20+10,hoanghieudro2,1409,oldpaths,1548
91,1,51,Resign,1,20+10,oldpaths,1539,hoanghieudro2,1418
92,1,69,Resign,1,20+10,ehabhaddad,1603,oldpaths,1550
93,1,28,Resign,1,20+10,oldpaths,1542,gabrielsol,1399
94,1,62,Resign,0,20+10,oldpaths,1546,crushmik,1877
95,1,62,Mate,0,20+10,amary33,1134,oldpaths,1535
96,1,85,Mate,1,20+10,oldpaths,1513,remisero,1784
97,1,38,Resign,1,20+10,oldpaths,1501,ryan94,1445
98,0,14,Resign,1,45+0,lotfibma,1500,hollyandclaws,1500
99,1,113,Draw,0.5,15+0,avelez8,1745,anonymous1705,1714
100,1,62,Resign,1,15+0,avelez8,1734,ars01,1748
101,1,101,Resign,1,10+0,salah04,1942,avelez8,1739
102,1,75,Out of Time,1,10+0,avelez8,1724,vincenzo2000,1855
103,1,135,Mate,1,10+0,majid_alsalhi,1951,avelez8,1729
104,1,81,Out of Time,1,10+0,avelez8,1726,pavankumarg,1388
105,1,46,Resign,0,10+0,avelez8,1735,mrmaccc,1806
106,1,70,Mate,0,10+0,hopefullman15,1597,avelez8,1728
107,1,39,Resign,1,10+0,laeca53,1743,avelez8,1738
