game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,difference_rating
51,0,5,Resign,0,10+0,shivangithegenius,97.8,balkarec,150.0,-52.2
52,0,7,Resign,1,10+0,lucasimeon,150.0,shivangithegenius,97.8,52.2
53,0,53,Mate,1,10+0,shivangithegenius,97.8,lucasimeon,150.0,-52.2
54,0,36,Resign,0,10+0,lucasimeon,150.0,shivangithegenius,97.8,52.2
55,1,8,Resign,1,16+0,wing175,152.1,gerfsh,116.2,35.9
56,1,3,Resign,1,6+10,caramiecho72,140.7,gerfsh,150.0,-9.3
57,1,28,Resign,1,10+0,mazyaraghgmail,149.2,wpc96,145.8,3.4
58,1,30,Resign,0,10+0,anrk,141.4,wpc96,144.2,-2.8
59,1,44,Resign,0,10+0,wpc96,145.7,tbaruel,129.4,16.3
60,1,29,Resign,1,10+0,acahn,152.5,wpc96,146.6,5.9
61,1,37,Resign,0,8+10,iskendermyucel,120.7,oldpaths,157.9,-37.2
62,1,49,Resign,1,8+12,oldpaths,156.7,david1488,157.3,-0.6
63,1,32,Resign,0,8+12,oldpaths,157.8,lc777,160.5,-2.7
64,1,25,Resign,1,8+12,jordanfury,193.9,oldpaths,158.1,35.8
65,1,40,Mate,0,5+10,porquepepe,161.8,oldpaths,156.8,5.0
66,1,39,Resign,1,7+12,gio1212,175.5,oldpaths,157.4,18.1
67,1,57,Resign,1,15+10,oldpaths,156.1,rubberchicken04,159.6,-3.5
68,1,78,Resign,0,5+40,berejokserg,150.0,oldpaths,155.4,-5.4
69,1,61,Resign,1,15+5,oldpaths,154.4,trump216bc,146.1,8.3
70,1,44,Resign,0,20+5,oldpaths,156.3,efer003,133.5,22.8
71,1,62,Mate,0,20+5,oldpaths,157.9,fcolpo,147.0,10.9
72,1,87,Mate,1,20+5,chesschumpchamp,161.7,oldpaths,159.0,2.7
73,1,54,Mate,0,20+5,aminox,120.7,oldpaths,158.8,-38.1
74,1,54,Resign,0,15+5,oldpaths,159.5,sale0706,154.7,4.8
75,1,37,Resign,1,15+5,redar1,185.5,oldpaths,159.9,25.6
76,1,50,Resign,1,15+5,oldpaths,158.9,insequitur,154.7,4.2
77,1,131,Resign,1,30+0,oldpaths,157.1,tb-123,172.8,-15.7
78,1,48,Resign,1,30+0,tb-123,172.0,oldpaths,157.9,14.1
79,1,47,Resign,0,15+5,oldpaths,157.9,iris_foxspring,210.5,-52.6
80,1,64,Mate,0,15+5,zoro55,176.8,oldpaths,156.0,20.8
81,1,61,Resign,1,15+5,oldpaths,155.2,geburah,143.6,11.6
82,1,57,Mate,1,15+5,oldpaths,153.6,urmil007,166.7,-13.1
83,1,51,Resign,1,15+5,serai,152.1,oldpaths,154.9,-2.8
84,1,58,Mate,0,15+5,allahdeweswin,125.1,oldpaths,154.5,-29.4
85,1,71,Resign,1,15+5,oldpaths,153.7,antoniogallero,140.8,12.9
86,1,114,Resign,1,15+5,oldpaths,152.2,matheuswillx,151.2,1.0
87,1,39,Resign,1,15+5,euler_jr,160.2,oldpaths,153.2,7.0
88,1,20,Resign,0,15+5,oldpaths,154.3,euler_jr,159.3,-5.0
89,1,48,Resign,0,30+0,oldpaths,155.6,krillnor,153.9,1.7
90,1,34,Mate,0,20+10,hoanghieudro2,140.9,oldpaths,154.8,-13.9
91,1,51,Resign,1,20+10,oldpaths,153.9,hoanghieudro2,141.8,12.1
92,1,69,Resign,1,20+10,ehabhaddad,160.3,oldpaths,155.0,5.3
93,1,28,Resign,1,20+10,oldpaths,154.2,gabrielsol,139.9,14.3
94,1,62,Resign,0,20+10,oldpaths,154.6,crushmik,187.7,-33.1
95,1,62,Mate,0,20+10,amary33,113.4,oldpaths,153.5,-40.1
96,1,85,Mate,1,20+10,oldpaths,151.3,remisero,178.4,-27.1
97,1,38,Resign,1,20+10,oldpaths,150.1,ryan94,144.5,5.6
98,0,14,Resign,1,45+0,lotfibma,150.0,hollyandclaws,150.0,0.0
99,1,113,Draw,0.5,15+0,avelez8,174.5,anonymous1705,171.4,3.1
100,1,62,Resign,1,15+0,avelez8,173.4,ars01,174.8,-1.4
101,1,101,Resign,1,10+0,salah04,194.2,avelez8,173.9,20.3
102,1,75,Out of Time,1,10+0,avelez8,172.4,vincenzo2000,185.5,-13.1
103,1,135,Mate,1,10+0,majid_alsalhi,195.1,avelez8,172.9,22.2
104,1,81,Out of Time,1,10+0,avelez8,172.6,pavankumarg,138.8,33.8
105,1,46,Resign,0,10+0,avelez8,173.5,mrmaccc,180.6,-7.1
106,1,70,Mate,0,10+0,hopefullman15,159.7,avelez8,172.8,-13.1
107,1,39,Resign,1,10+0,laeca53,174.3,avelez8,173.8,0.5
108,1,91,Resign,1,10+0,totoymate,172.1,avelez8,175.0,-2.9
110,1,46,Resign,0,10+0,jdalcheco,174.4,avelez8,173.5,0.9
111,1,18,Resign,0,10+0,avelez8,174.9,yolandoparada,163.1,11.8
112,1,28,Resign,0,10+0,avelez8,176.9,murattibogurcu,139.6,37.3
113,1,40,Resign,0,5+8,cdvh,179.5,hunecel,176.0,3.5
114,1,111,Mate,1,15+0,hafedfree,172.9,cdvh,179.5,-6.6
115,1,54,Mate,0,10+0,decem,179.5,cdvh,178.4,1.1
116,1,33,Resign,1,10+0,cdvh,177.0,japcan,187.2,-10.2
117,1,90,Resign,0,10+0,cdvh,178.3,raubstein,172.1,6.2
118,1,90,Resign,0,10+0,ashishbarda,188.4,cdvh,176.8,11.6
119,1,40,Mate,0,10+0,omid163,175.6,cdvh,175.6,0.0
120,1,49,Out of Time,1,8+0,cdvh,172.4,capito2017,195.8,-23.4
121,1,50,Resign,0,10+0,chess-brahs,203.6,cdvh,170.6,33.0
122,1,59,Mate,1,10+0,cdvh,170.6,dashy1,92.5,78.1
123,1,26,Out of Time,0,15+15,mosheaugustyn,124.4,sassou,121.9,2.5
124,1,23,Mate,1,15+15,sassou,121.5,memoryberat,92.1,29.4
125,1,118,Mate,0,15+15,fatmat,135.0,sassou,120.1,14.9
126,1,66,Mate,0,15+15,sassou,121.0,alpheus23,128.0,-7.0
127,1,120,Draw,0.5,15+15,sureka_akshat,113.9,sassou,121.2,-7.3
128,1,36,Mate,0,15+15,sassou,122.0,kapi77,134.1,-12.1
129,1,26,Mate,0,15+15,sassou,123.4,cohiba_313,135.9,-12.5
130,1,62,Resign,0,15+15,sassou,127.5,bagelsfu,123.6,3.9
131,1,37,Resign,1,15+15,sabayossi,143.3,sassou,128.2,15.1
132,1,24,Resign,0,15+15,trelynn17,113.2,sassou,127.6,-14.4
133,0,47,Resign,1,30+2,sassou,127.6,maougnassou,130.8,-3.2
134,1,37,Resign,0,15+15,laeufer26,122.8,sassou,126.6,-3.8
135,1,24,Resign,0,15+15,sassou,127.3,popsun,140.9,-13.6
136,1,9,Resign,1,15+15,mdaboczi,133.8,sassou,127.7,6.1
137,1,47,Mate,1,15+15,sassou,126.3,marktop1,133.6,-7.3
138,1,85,Mate,1,15+15,rougethunder,131.6,sassou,127.3,4.3
139,1,39,Mate,1,15+15,sassou,124.8,shobik24,125.3,-0.5
140,1,58,Mate,0,15+15,maninayebi,133.5,sassou,123.3,10.2
141,1,95,Mate,1,15+15,sassou,122.3,agilm,118.9,3.4
142,1,2,Resign,0,15+15,pune123,144.3,sassou,120.4,23.9
143,1,97,Mate,1,15+15,failedocean,122.7,sassou,121.6,1.1
144,1,12,Draw,0.5,15+15,sassou,121.5,lumipa,121.9,-0.4
145,1,30,Resign,1,15+15,fastandbulbous420,122.7,sassou,122.7,0.0
146,1,43,Mate,1,10+0,minimouf,155.0,sassou,122.5,32.5
147,1,11,Resign,1,15+15,goodolddaystr,132.5,sassou,123.4,9.1
148,1,72,Mate,0,15+15,gonzalogp98,121.2,sassou,122.1,-0.9
